账户(出资实体),交易日期,股票代码,股票名称,交易,股数,交易货币,价格,股票总值,股票净值
P,2017/2/10,1336.HK,新华保险(H),买入,"10,000.00", 港币(HKD) ,40.5,"404,999.98","405,569.72"
F,2017/2/14,002027.SZ,分众传媒,卖出,"-46,097,800.00", 人民币(CNY) ,12.45,"-573,917,610.00","-573,114,125.35"
F,2017/2/14,002027.SZ,分众传媒,卖出,"-13,678,900.00", 人民币(CNY) ,12.45,"-170,302,305.00","-170,063,881.77"
B,2017/2/17,COWN,Cowen Group,买入,"2,700.00", 美元(USD) ,14.93,"40,317.48","40,344.48"
K,2017/2/23,COWN,Cowen Group,买入,"10,000.00", 美元(USD) ,14.98,"149,750.00","149,817.40"
C,2017/2/24,CLNS,Colony Northstar,买入,"175,000.00", 美元(USD) ,14.22,"2,488,500.00","2,492,232.75"
K,2017/2/24,COWN,Cowen Group,买入,"10,000.00", 美元(USD) ,14.73,"147,250.00","147,316.27"
K,2017/2/27,COWN,Cowen Group,买入,"2,500.00", 美元(USD) ,14.5,"36,250.00","36,266.31"
K,2017/2/28,COWN,Cowen Group,买入,"10,000.00", 美元(USD) ,14.45,"144,500.00","144,565.04"
C,2017/3/6,CLNS,Colony Northstar,买入,"178,000.00", 美元(USD) ,13.77,"2,451,060.00","2,454,736.59"
E,2017/3/13,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"6,431,115.00", 欧元(EUR) ,0.16,"1,037,255.25","1,040,386.20"
K,2017/3/13,COWN,Cowen Group,买入,"3,709.00", 美元(USD) ,13.3,"49,329.70","49,351.90"
E,2017/3/14,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"12,502,079.00", 欧元(EUR) ,0.16,"1,977,053.77","1,983,020.66"
K,2017/3/14,COWN,Cowen Group,买入,"5,000.00", 美元(USD) ,13.3,"66,500.00","66,529.93"
E,2017/3/15,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"10,973,036.00", 欧元(EUR) ,0.16,"1,741,069.68","1,746,322.61"
E,2017/3/16,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"5,739,761.00", 欧元(EUR) ,0.16,"920,519.91","923,297.27"
K,2017/3/16,COWN,Cowen Group,买入,"5,000.00", 美元(USD) ,13.3,"66,500.00","66,529.93"
E,2017/3/17,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"20,808,950.00", 欧元(EUR) ,0.16,"3,364,224.56","3,374,368.93"
K,2017/3/17,COWN,Cowen Group,买入,"20,000.00", 美元(USD) ,14.63,"292,500.00","292,631.65"
K,2017/3/20,COWN,Cowen Group,买入,"20,000.00", 美元(USD) ,13.65,"273,000.00","273,122.86"
N,2017/3/20,1117.HK,现代牧业,卖出,"-850,000.00", 港币(HKD) ,1.9,"-1,618,850.00","-1,616,264.54"
K,2017/3/21,COWN,Cowen Group,买入,"20,000.00", 美元(USD) ,13.15,"263,000.00","263,118.36"
N,2017/3/21,1117.HK,现代牧业,卖出,"-800,000.00", 港币(HKD) ,1.92,"-1,536,000.00","-1,533,547.01"
K,2017/3/22,COWN,Cowen Group,买入,"15,000.00", 美元(USD) ,12.6,"189,000.00","189,085.06"
N,2017/3/22,1117.HK,现代牧业,卖出,"-50,000.00", 港币(HKD) ,1.9,"-95,000.00","-94,815.68"
K,2017/3/23,COWN,Cowen Group,买入,"10,000.00", 美元(USD) ,13.05,"130,500.00","130,558.73"
K,2017/3/24,COWN,Cowen Group,买入,"15,000.00", 美元(USD) ,13.25,"198,750.00","198,839.44"
E,2017/3/27,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"5,198,111.00", 欧元(EUR) ,0.18,"916,047.51","918,814.34"
K,2017/3/27,COWN,Cowen Group,买入,"46,589.00", 美元(USD) ,13.27,"618,224.38","618,718.96"
E,2017/3/28,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"13,857,707.00", 欧元(EUR) ,0.18,"2,552,243.19","2,559,955.78"
K,2017/3/28,COWN,Cowen Group,买入,"34,717.00", 美元(USD) ,13.73,"476,624.64","476,006.14"
N,2017/3/28,1117.HK,现代牧业,卖出,"-1,150,000.00", 港币(HKD) ,1.91,"-2,194,000.00","-2,190,496.18"
E,2017/3/29,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"4,439,666.00", 欧元(EUR) ,0.19,"836,251.05","838,776.40"
E,2017/3/30,BCP.PL,BANCO COMERCIAL PORTUGUES,买入,"8,841,459.00", 欧元(EUR) ,0.19,"1,693,325.07","1,698,436.85"
